517,456,440
524,452,426
523,474,444
524,480,448
529,486,432
535,494,430
537,496,428
539,506,432
550,512,428
553,516,418
552,520,412
548,522,408
548,524,410
549,530,412
552,532,408
550,534,414
551,540,428
555,544,432
562,550,430
572,558,418
575,564,408
573,572,394
570,576,390
562,588,380
548,602,368
541,618,352
539,648,348
552,676,356
557,686,354
565,706,352
572,742,360
574,770,370
570,794,386
573,816,410
575,836,444
588,860,476
598,878,500
610,898,530
637,910,558
673,920,568
662,920,586
655,920,606
657,920,606
659,920,598
634,920,664
621,920,690
636,920,742
641,920,768
632,920,790
633,920,784
636,918,758
639,908,728
622,886,746
493,850,804
420,798,842
424,768,846
451,770,818
455,766,802
469,768,788
384,750,866
315,728,916
416,696,920
490,646,920
480,598,904
456,554,840
443,510,792
411,484,778
412,480,768
438,484,754
443,480,738
448,478,702
450,478,670
456,484,658
464,486,644
474,500,644
485,510,642
489,514,628
487,514,620
495,516,616
496,516,608
496,518,594
503,520,592
510,520,594
514,520,592
522,522,590
531,526,588
543,528,586
553,528,584
556,530,590
563,536,604
562,536,616
561,536,624
553,532,644
547,530,642
549,528,636
