user,timestamp,trial,distance,widths,time,pos_pointer,pos_target,moffset-x,moffset-y
3,2014-04-27T11:01:00,0, 200, 60,1078,"935,438","612,384",6,26
3,2014-04-27T11:01:03,1, 200, 40,721,"605,410","512,384",-1,8
3,2014-04-27T11:01:04,2, 100, 100,527,"511,392","562,384",-15,8
3,2014-04-27T11:01:05,3, 100, 80,337,"542,392","512,384",5,8
3,2014-04-27T11:01:06,4, 300, 80,553,"518,392","662,384",7,3
3,2014-04-27T11:01:06,5, 400, 40,934,"665,387","462,384",6,1
3,2014-04-27T11:01:07,6, 400, 80,815,"480,385","662,384",25,0
3,2014-04-27T11:01:08,7, 400, 100,600,"668,384","462,384",-16,0
3,2014-04-27T11:01:09,8, 100, 80,553,"464,384","512,384",22,-8
3,2014-04-27T11:01:10,9, 200, 80,722,"529,376","412,384",11,-3
3,2014-04-27T11:01:11,10, 200, 100,434,"424,381","512,384",-4,-3
3,2014-04-27T11:01:12,11, 400, 40,792,"506,381","312,384",6,7
3,2014-04-27T11:01:13,12, 100, 60,649,"321,391","362,384",11,1
3,2014-04-27T11:01:13,13, 400, 60,814,"359,385","162,384",-15,10
3,2014-04-27T11:01:14,14, 400, 80,673,"149,394","362,384",-15,-2
3,2014-04-27T11:01:15,15, 400, 100,718,"331,382","162,384",-8,0
3,2014-04-27T11:01:16,16, 100, 100,457,"156,384","212,384",5,0
3,2014-04-27T11:01:17,17, 100, 100,410,"215,383","162,384",9,-1
3,2014-04-27T11:01:18,18, 100, 60,410,"174,383","212,384",-9,-1
3,2014-04-27T11:01:18,19, 400, 80,957,"197,383","412,384",-12,8
3,2014-04-27T11:01:19,20, 200, 60,671,"398,392","512,384",-4,0
3,2014-04-27T11:01:20,21, 200, 40,1125,"508,384","412,384",9,6
3,2014-04-27T11:01:22,22, 400, 40,623,"427,390","612,384",14,9
3,2014-04-27T11:01:23,23, 300, 100,578,"609,393","462,384",19,12
3,2014-04-27T11:01:23,24, 200, 100,478,"484,395","562,384",7,-1
3,2014-04-27T11:01:24,25, 400, 60,575,"561,383","362,384",6,2
3,2014-04-27T11:01:25,26, 100, 80,579,"381,386","412,384",9,3
3,2014-04-27T11:01:26,27, 200, 80,505,"415,387","312,384",-4,1
3,2014-04-27T11:01:26,28, 100, 40,715,"316,385","362,384",9,0
3,2014-04-27T11:01:27,29, 300, 80,809,"360,384","212,384",9,0
3,2014-04-27T11:01:28,30, 200, 40,696,"236,384","312,384",-6,-1
3,2014-04-27T11:01:29,31, 200, 80,530,"305,383","212,384",1,7
3,2014-04-27T11:01:30,32, 300, 60,626,"227,391","362,384",-4,7
3,2014-04-27T11:01:31,33, 400, 60,600,"349,391","162,384",1,8
3,2014-04-27T11:01:32,34, 400, 100,503,"179,392","362,384",-16,2
3,2014-04-27T11:01:32,35, 300, 100,457,"329,386","212,384",-18,14
3,2014-04-27T11:01:33,36, 300, 100,692,"195,398","362,384",-24,14
3,2014-04-27T11:01:34,37, 100, 60,718,"329,398","312,384",-22,6
3,2014-04-27T11:01:35,38, 300, 60,694,"304,390","462,384",-8,-6
3,2014-04-27T11:01:36,39, 300, 40,833,"453,378","312,384",6,-1
3,2014-04-27T11:01:37,40, 400, 60,932,"318,382","512,384",4,-7
3,2014-04-27T11:01:38,41, 200, 80,552,"514,377","412,384",-8,-6
3,2014-04-27T11:01:39,42, 100, 60,411,"418,378","462,384",-11,-4
3,2014-04-27T11:01:39,43, 100, 40,434,"450,380","412,384",-3,-1
3,2014-04-27T11:01:40,44, 100, 100,386,"416,383","462,384",-10,1
3,2014-04-27T11:01:41,45, 300, 40,552,"438,385","312,384",7,-1
3,2014-04-27T11:01:41,46, 100, 40,454,"331,385","362,384",17,2
3,2014-04-27T11:01:42,47, 300, 60,600,"379,385","212,384",16,2
3,2014-04-27T11:01:43,48, 400, 40,960,"228,386","412,384",5,3
3,2014-04-27T11:01:44,49, 200, 60,457,"409,389","312,384",-6,10
3,2014-04-27T11:01:45,50, 200, 60,720,"310,393","412,384",-2,-1
3,2014-04-27T11:01:45,51, 300, 80,623,"397,383","262,384",8,-1
3,2014-04-27T11:01:46,52, 400, 80,647,"271,383","462,384",-2,2
3,2014-04-27T11:01:47,53, 300, 60,600,"447,386","312,384",3,6
3,2014-04-27T11:01:48,54, 300, 40,814,"316,390","462,384",9,1
3,2014-04-27T11:01:49,55, 300, 100,767,"468,385","312,384",13,32
3,2014-04-27T11:01:50,56, 300, 80,674,"328,416","462,384",-15,-4
3,2014-04-27T11:01:51,57, 200, 40,528,"445,379","362,384",2,-8
3,2014-04-27T11:01:52,58, 100, 40,504,"364,376","412,384",3,3
3,2014-04-27T11:01:52,59, 100, 80,432,"414,387","362,384",16,2
3,2014-04-27T11:01:53,60, 300, 40,912,"392,386","512,384",11,5
3,2014-04-27T11:01:54,61, 400, 100,696,"511,389","312,384",35,-4
3,2014-04-27T11:01:55,62, 200, 100,599,"370,382","412,384",22,4
3,2014-04-27T11:01:56,63, 200, 100,505,"431,387","312,384",23,4
