user,timestamp,trial,distance,widths,time,pos_pointer,pos_target,moffset-x,moffset-y
2,2014-04-27T10:07:33,0, 100, 60,1815,"988,196","562,384",7,0
2,2014-04-27T10:07:35,1, 100, 40,304,"566,384","512,384",7,3
2,2014-04-27T10:07:36,2, 200, 80,371,"522,387","612,384",-18,-12
2,2014-04-27T10:07:36,3, 200, 100,393,"593,373","512,384",13,2
2,2014-04-27T10:07:37,4, 300, 100,485,"532,390","662,384",-15,-7
2,2014-04-27T10:07:38,5, 100, 80,364,"645,377","612,384",22,-6
2,2014-04-27T10:07:38,6, 200, 60,305,"636,378","712,384",11,-3
2,2014-04-27T10:07:39,7, 300, 60,562,"722,381","562,384",17,6
2,2014-04-27T10:07:39,8, 300, 40,508,"580,390","712,384",-8,2
2,2014-04-27T10:07:40,9, 200, 80,327,"703,386","612,384",10,8
2,2014-04-27T10:07:40,10, 200, 100,315,"622,393","712,384",-18,23
2,2014-04-27T10:07:41,11, 100, 80,518,"693,407","662,384",-23,10
2,2014-04-27T10:07:41,12, 100, 80,315,"641,394","712,384",12,12
2,2014-04-27T10:07:42,13, 300, 80,461,"722,396","562,384",-32,-2
2,2014-04-27T10:07:43,14, 300, 100,517,"532,382","712,384",4,-4
2,2014-04-27T10:07:43,15, 100, 40,529,"714,380","662,384",-15,2
2,2014-04-27T10:07:44,16, 200, 80,338,"650,386","762,384",18,-9
2,2014-04-27T10:07:44,17, 400, 60,776,"779,375","562,384",15,-4
2,2014-04-27T10:07:45,18, 100, 40,328,"588,380","612,384",10,-8
2,2014-04-27T10:07:46,19, 400, 80,687,"616,376","412,384",-9,6
2,2014-04-27T10:07:47,20, 200, 60,349,"404,390","512,384",29,-1
2,2014-04-27T10:07:47,21, 100, 100,326,"540,383","462,384",15,3
2,2014-04-27T10:07:48,22, 300, 80,731,"473,387","612,384",-26,-8
2,2014-04-27T10:07:49,23, 300, 60,379,"585,376","462,384",4,0
2,2014-04-27T10:07:49,24, 400, 100,810,"468,385","662,384",-3,-13
2,2014-04-27T10:07:50,25, 300, 80,506,"655,371","512,384",-4,2
2,2014-04-27T10:07:51,26, 300, 60,463,"509,386","662,384",-1,-7
2,2014-04-27T10:07:52,27, 400, 100,552,"654,377","462,384",12,9
2,2014-04-27T10:07:52,28, 300, 40,687,"480,392","612,384",10,-2
2,2014-04-27T10:07:53,29, 200, 40,451,"619,382","512,384",0,-6
2,2014-04-27T10:07:54,30, 400, 60,769,"514,379","712,384",-2,6
2,2014-04-27T10:07:55,31, 300, 100,508,"708,390","562,384",17,4
2,2014-04-27T10:07:56,32, 200, 40,855,"580,388","662,384",6,7
2,2014-04-27T10:07:57,33, 200, 60,359,"663,391","562,384",9,6
2,2014-04-27T10:07:57,34, 100, 100,506,"579,388","612,384",31,-12
2,2014-04-27T10:07:58,35, 100, 100,260,"642,372","562,384",1,-12
2,2014-04-27T10:07:59,36, 400, 40,742,"579,380","762,384",8,8
2,2014-04-27T10:08:00,37, 300, 40,687,"767,392","612,384",11,16
2,2014-04-27T10:08:00,38, 400, 80,620,"628,397","812,384",-2,-7
2,2014-04-27T10:08:01,39, 400, 60,708,"809,377","612,384",-29,-5
2,2014-04-27T10:08:02,40, 100, 100,563,"584,379","662,384",7,21
2,2014-04-27T10:08:03,41, 300, 60,438,"667,405","512,384",-18,18
2,2014-04-27T10:08:04,42, 200, 100,350,"496,402","612,384",2,6
2,2014-04-27T10:08:04,43, 300, 100,394,"613,390","462,384",36,9
2,2014-04-27T10:08:05,44, 400, 40,597,"499,393","662,384",10,-1
2,2014-04-27T10:08:05,45, 200, 40,394,"671,383","562,384",-11,-5
2,2014-04-27T10:08:06,46, 100, 60,530,"552,379","612,384",20,-14
2,2014-04-27T10:08:06,47, 100, 40,326,"626,370","562,384",-7,-12
2,2014-04-27T10:08:07,48, 200, 60,597,"556,372","662,384",-6,-6
2,2014-04-27T10:08:08,49, 400, 100,439,"655,378","462,384",-5,-3
2,2014-04-27T10:08:08,50, 400, 40,800,"459,382","662,384",14,-5
2,2014-04-27T10:08:09,51, 200, 40,1001,"675,379","562,384",12,0
2,2014-04-27T10:08:10,52, 400, 60,619,"574,385","762,384",-16,4
2,2014-04-27T10:08:11,53, 200, 100,337,"745,388","662,384",3,-1
2,2014-04-27T10:08:12,54, 200, 80,496,"665,384","762,384",-11,-3
2,2014-04-27T10:08:12,55, 400, 40,540,"750,380","562,384",6,9
2,2014-04-27T10:08:13,56, 400, 100,619,"571,393","762,384",-36,-3
2,2014-04-27T10:08:14,57, 400, 80,451,"725,381","562,384",16,5
2,2014-04-27T10:08:14,58, 400, 80,687,"580,389","762,384",-22,-5
2,2014-04-27T10:08:15,59, 300, 40,406,"737,379","612,384",-4,-6
2,2014-04-27T10:08:16,60, 300, 80,609,"608,379","762,384",30,-7
2,2014-04-27T10:08:16,61, 100, 60,517,"792,376","712,384",0,0
2,2014-04-27T10:08:17,62, 100, 60,361,"713,384","762,384",4,-1
2,2014-04-27T10:08:18,63, 100, 80,360,"765,383","712,384",2,-2
